trial_id,top_pic,target_pic,foil_pic,trial_type
1,images/stims/bananas_original.jpg,images/stims/bananas_mooney.jpg,images/stims/turtle_mooney.jpg,critical
2,images/stims/bee_original.jpg,images/stims/bee_mooney.jpg,images/stims/bananas_mooney.jpg,critical
3,images/stims/burger_original.jpg,images/stims/burger_mooney.jpg,images/stims/bee_mooney.jpg,critical
4,images/stims/butterfly_original.jpg,images/stims/butterfly_mooney.jpg,images/stims/burger_mooney.jpg,critical
5,images/stims/cake_original.jpg,images/stims/cake_mooney.jpg,images/stims/butterfly_mooney.jpg,critical
6,images/stims/carrots_original.jpg,images/stims/carrots_mooney.jpg,images/stims/cake_mooney.jpg,critical
7,images/stims/cereal_original.jpg,images/stims/cereal_mooney.jpg,images/stims/carrots_mooney.jpg,critical
8,images/stims/cheese_original.jpg,images/stims/cheese_mooney.jpg,images/stims/cereal_mooney.jpg,critical
9,images/stims/chickens_original.jpg,images/stims/chickens_mooney.jpg,images/stims/cheese_mooney.jpg,critical
10,images/stims/chocolates_original.jpg,images/stims/chocolates_mooney.jpg,images/stims/chickens_mooney.jpg,critical
11,images/stims/dog_original.jpg,images/stims/dog_mooney.jpg,images/stims/chocolates_mooney.jpg,critical
12,images/stims/dolphins_original.jpg,images/stims/dolphins_mooney.jpg,images/stims/dog_mooney.jpg,critical
13,images/stims/elephant_original.jpg,images/stims/elephant_mooney.jpg,images/stims/dolphins_mooney.jpg,critical
14,images/stims/horses_original.jpg,images/stims/horses_mooney.jpg,images/stims/elephant_mooney.jpg,critical
15,images/stims/ladybirds_original.jpg,images/stims/ladybirds_mooney.jpg,images/stims/horses_mooney.jpg,critical
16,images/stims/orangutan_original.jpg,images/stims/orangutan_mooney.jpg,images/stims/ladybirds_mooney.jpg,critical
17,images/stims/pasta_original.jpg,images/stims/pasta_mooney.jpg,images/stims/orangutan_mooney.jpg,critical
18,images/stims/pizza_original.jpg,images/stims/pizza_mooney.jpg,images/stims/pasta_mooney.jpg,critical
19,images/stims/river_original.jpg,images/stims/river_mooney.jpg,images/stims/pizza_mooney.jpg,critical
20,images/stims/salad_original.jpg,images/stims/salad_mooney.jpg,images/stims/river_mooney.jpg,critical
21,images/stims/sandwiches_original.jpg,images/stims/sandwiches_mooney.jpg,images/stims/salad_mooney.jpg,critical
22,images/stims/tomatoes_original.jpg,images/stims/tomatoes_mooney.jpg,images/stims/sandwiches_mooney.jpg,critical
23,images/stims/toucan_original.jpg,images/stims/toucan_mooney.jpg,images/stims/tomatoes_mooney.jpg,critical
24,images/stims/turtle_original.jpg,images/stims/turtle_mooney.jpg,images/stims/toucan_mooney.jpg,critical