trial_id,clear_sound_start,clear_sound_length,target_sound_start,target_sound_length,foil_sound_start,foil_sound_length,clear_speaker_pic,a_speaker_pic,b_speaker_pic,trial_type,target_sentence,foil_sentence
1,,,,,,,images/stims/teacher.png,images/stims/robot1.png,images/stims/robot14.png,critical,the_dolphins_are_swimming,the_horses_are_in_the_field
2,,,,,,,images/stims/teacher.png,images/stims/robot2.png,images/stims/robot13.png,critical,she_has_cereal_for_breakfast,she_grew_lots_of_tomatoes
3,,,,,,,images/stims/teacher.png,images/stims/robot3.png,images/stims/robot12.png,critical,the_horses_are_in_the_field,the_fish_are_in_the_river
4,,,,,,,images/stims/teacher.png,images/stims/robot4.png,images/stims/robot11.png,critical,we_had_pasta_for_dinner,she_likes_eating_carrots
5,,,,,,,images/stims/teacher.png,images/stims/robot5.png,images/stims/robot10.png,critical,the_turtle_lives_in_the_sea,we_had_pasta_for_dinner
6,,,,,,,images/stims/teacher.png,images/stims/robot6.png,images/stims/robot9.png,critical,the_bee_is_on_the_flower,the_birds_are_flying
7,,,,,,,images/stims/teacher.png,images/stims/robot7.png,images/stims/robot8.png,critical,the_ladybirds_are_very_red,the_elephant_is_very_big
8,,,,,,,images/stims/teacher.png,images/stims/robot8.png,images/stims/robot7.png,critical,she_likes_eating_carrots,the_chickens_lay_eggs
9,,,,,,,images/stims/teacher.png,images/stims/robot9.png,images/stims/robot6.png,critical,the_elephant_is_very_big,the_monkey_is_up_in_the_tree
10,,,,,,,images/stims/teacher.png,images/stims/robot10.png,images/stims/robot5.png,critical,the_chickens_lay_eggs,he_finished_all_the_chocolates
11,,,,,,,images/stims/teacher.png,images/stims/robot11.png,images/stims/robot4.png,critical,the_dog_is_barking,the_cheese_is_tasty
12,,,,,,,images/stims/teacher.png,images/stims/robot12.png,images/stims/robot3.png,critical,the_pizza_was_too_hot,the_dolphins_are_swimming
13,,,,,,,images/stims/teacher.png,images/stims/robot13.png,images/stims/robot2.png,critical,the_butterfly_is_pretty,the_pizza_was_too_hot
14,,,,,,,images/stims/teacher.png,images/stims/robot14.png,images/stims/robot1.png,critical,he_finished_all_the_chocolates,she_has_cereal_for_breakfast
15,,,,,,,images/stims/teacher.png,images/stims/robot1.png,images/stims/robot10.png,critical,he_dropped_the_cheeseburger,the_bee_is_on_the_flower
16,,,,,,,images/stims/teacher.png,images/stims/robot2.png,images/stims/robot9.png,critical,she_grew_lots_of_tomatoes,the_turtle_lives_in_the_sea
17,,,,,,,images/stims/teacher.png,images/stims/robot3.png,images/stims/robot8.png,critical,we_took_some_sandwiches,he_dropped_the_cheeseburger
18,,,,,,,images/stims/teacher.png,images/stims/robot4.png,images/stims/robot7.png,critical,the_birds_are_flying,the_dog_is_barking
19,,,,,,,images/stims/teacher.png,images/stims/robot5.png,images/stims/robot6.png,critical,he_made_a_salad,we_took_some_sandwiches
20,,,,,,,images/stims/teacher.png,images/stims/robot6.png,images/stims/robot5.png,critical,the_cheese_is_tasty,she_bought_a_cake
21,,,,,,,images/stims/teacher.png,images/stims/robot7.png,images/stims/robot4.png,critical,he_is_peeling_a_banana,the_butterfly_is_pretty
22,,,,,,,images/stims/teacher.png,images/stims/robot8.png,images/stims/robot3.png,critical,she_bought_a_cake,he_made_a_salad
23,,,,,,,images/stims/teacher.png,images/stims/robot9.png,images/stims/robot2.png,critical,the_fish_are_in_the_river,he_is_peeling_a_banana
24,,,,,,,images/stims/teacher.png,images/stims/robot10.png,images/stims/robot1.png,critical,the_monkey_is_up_in_the_tree,the_ladybirds_are_very_red